	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
135	MA0150.1	NFE2L2	NFE2L2	ENSG00000116044	['ENST00000397062', 'ENST00000397063', 'ENST00000421929', 'ENST00000423513', 'ENST00000430047', 'ENST00000446151', 'ENST00000448782', 'ENST00000449627', 'ENST00000458603', 'ENST00000462023', 'ENST00000464747', 'ENST00000477534', 'ENST00000586532', 'ENST00000588123']
136	MA0152.1	NFATC2	NFATC2	ENSG00000101096	['ENST00000371564', 'ENST00000396009', 'ENST00000414705', 'ENST00000496054', 'ENST00000609507', 'ENST00000609943', 'ENST00000610033']
137	MA0153.1	HNF1B	HNF1B	ENSG00000276194	['ENST00000610754', 'ENST00000614955', 'ENST00000616941', 'ENST00000619478', 'ENST00000632625', 'ENST00000633792', 'ENST00000633873']
138	MA0153.2	HNF1B	HNF1B	ENSG00000276194	['ENST00000610754', 'ENST00000614955', 'ENST00000616941', 'ENST00000619478', 'ENST00000632625', 'ENST00000633792', 'ENST00000633873']
139	MA0154.2	EBF1	EBF1	ENSG00000164330	['ENST00000313708', 'ENST00000380654', 'ENST00000517373', 'ENST00000518323', 'ENST00000518836', 'ENST00000519739', 'ENST00000519890', 'ENST00000522192', 'ENST00000523315', 'ENST00000523464', 'ENST00000622875']
140	MA0154.3	EBF1	EBF1	ENSG00000164330	['ENST00000313708', 'ENST00000380654', 'ENST00000517373', 'ENST00000518323', 'ENST00000518836', 'ENST00000519739', 'ENST00000519890', 'ENST00000522192', 'ENST00000523315', 'ENST00000523464', 'ENST00000622875']
141	MA0155.1	INSM1	INSM1	ENSG00000173404	ENST00000310227
142	MA0156.1	FEV	FEV	ENSG00000163497	['ENST00000295727', 'ENST00000470119']
143	MA0156.2	FEV	FEV	ENSG00000163497	['ENST00000295727', 'ENST00000470119']
144	MA0157.1	FOXO3	FOXO3	ENSG00000118689	['ENST00000343882', 'ENST00000406360', 'ENST00000540898']
145	MA0157.2	FOXO3	FOXO3	ENSG00000118689	['ENST00000343882', 'ENST00000406360', 'ENST00000540898']
146	MA0158.1	HOXA5	HOXA5	ENSG00000106004	['ENST00000222726', 'ENST00000520854']
